time,price,number
Jul 29 2015 01 0,36.303,244
Jul 30 2015 01 0,37.108,274
Jul 31 2015 01 0,37.569,269
Aug 01 2015 01 0,37.568,246
Aug 02 2015 01 0,37.767,226
Aug 03 2015 01 0,37.007,248
Aug 04 2015 01 0,37.096,242
Aug 05 2015 01 0,36.035,260
Aug 06 2015 01 0,36.749,252
Aug 07 2015 01 0,36.173,289
Aug 08 2015 01 0,37.108,229
Aug 09 2015 01 0,36.921,212
Aug 10 2015 01 0,37.486,268
Aug 11 2015 01 0,36.184,254
Aug 12 2015 01 0,36.968,244
Aug 13 2015 01 0,39.448,256
Aug 14 2015 01 0,37.414,237
Aug 15 2015 01 0,32.776,327
Aug 16 2015 01 0,33.324,272
Aug 17 2015 01 0,33.659,273
Aug 18 2015 01 0,33.8,253
Aug 19 2015 01 0,36.65,247
Aug 20 2015 01 0,34.61,294
Aug 21 2015 01 0,35.469,336
Aug 22 2015 01 0,35.883,294
Aug 23 2015 01 0,34.674,372
Aug 24 2015 01 0,35.365,369
Aug 25 2015 01 0,37.938,281
Aug 26 2015 01 0,38.93,288
Aug 27 2015 01 0,41.337,214
Aug 28 2015 01 0,41.659,263
Aug 29 2015 01 0,41.319,240
Aug 30 2015 01 0,41.177,222
Aug 31 2015 01 0,41.865,242
Sep 01 2015 01 0,45.296,274
Sep 02 2015 01 0,43.241,237
Sep 03 2015 01 0,43.895,210
Sep 04 2015 01 0,42.932,259
Sep 05 2015 01 0,42.984,254
Sep 06 2015 01 0,42.524,251
Sep 07 2015 01 0,42.506,240
Sep 08 2015 01 0,43.008,223
Sep 09 2015 01 0,42.141,185
Sep 10 2015 01 0,43.555,213
Sep 11 2015 01 0,41.643,258
Sep 12 2015 01 0,42.743,265
Sep 13 2015 01 0,42.12,290
Sep 14 2015 01 0,42.261,240
Sep 15 2015 01 0,43.905,208
Sep 16 2015 01 0,44.218,230
Sep 17 2015 01 0,42.543,221
Sep 18 2015 01 0,46.082,400
Sep 19 2015 01 0,45.44,372
Sep 20 2015 01 0,44.427,339
Sep 21 2015 01 0,43.038,272
Sep 22 2015 01 0,42.35,280
Sep 23 2015 01 0,41.782,263
Sep 24 2015 01 0,42.491,256
Sep 25 2015 01 0,43.552,278
Sep 26 2015 01 0,44.105,328
Sep 27 2015 01 0,43.363,257
Sep 28 2015 01 0,42.259,270
Sep 29 2015 01 0,42.153,229
Sep 30 2015 01 0,42.006,255
Oct 01 2015 01 0,43.088,241
Oct 02 2015 01 0,42.812,286
Oct 03 2015 01 0,41.283,310
Oct 04 2015 01 0,40.824,271
Oct 05 2015 01 0,41.618,245
Oct 06 2015 01 0,41.069,226
Oct 07 2015 01 0,41.859,204
Oct 08 2015 01 0,40.85,228
Oct 09 2015 01 0,42.179,258
Oct 10 2015 01 0,42.017,284
Oct 11 2015 01 0,42.316,257
Oct 12 2015 01 0,41.331,266
Oct 13 2015 01 0,41.764,211
Oct 14 2015 01 0,39.751,223
Oct 15 2015 01 0,40.197,196
Oct 16 2015 01 0,41.162,241
Oct 17 2015 01 0,40.398,250
Oct 18 2015 01 0,39.015,253
Oct 19 2015 01 0,38.434,194
Oct 20 2015 01 0,40.464,199
Oct 21 2015 01 0,38.892,215
Oct 22 2015 01 0,36.796,180
Oct 23 2015 01 0,37.901,277
Oct 24 2015 01 0,37.567,281
Oct 25 2015 01 0,37.293,293
Oct 26 2015 01 0,37.027,234
Oct 27 2015 01 0,39.584,190
Oct 28 2015 01 0,38.75,246
Oct 29 2015 01 0,38.398,235
Oct 30 2015 01 0,38.424,308
Oct 31 2015 01 0,39.281,319
Nov 01 2015 01 0,37.613,347
Nov 02 2015 01 0,36.237,297
Nov 03 2015 01 0,38.181,243
Nov 04 2015 01 0,39.444,235
Nov 05 2015 01 0,39.834,216
Nov 06 2015 01 0,39.37,249
Nov 07 2015 01 0,39.668,305
Nov 08 2015 01 0,37.779,278
Nov 09 2015 01 0,38.812,230
Nov 10 2015 01 0,38.009,200
Nov 11 2015 01 0,39.321,182
Nov 12 2015 01 0,36.926,206
Nov 13 2015 01 0,37.857,257
Nov 14 2015 01 0,39.289,282
Nov 15 2015 01 0,38.582,232
