time,price,number
Jan 25 2015 01 0,33.245,552
Jan 26 2015 01 0,30.963,506
Jan 27 2015 01 0,31.467,467
Jan 28 2015 01 0,32.313,407
Jan 29 2015 01 0,30.354,508
Jan 30 2015 01 0,31.41,580
Jan 31 2015 01 0,32.628,568
Feb 01 2015 01 0,31.483,616
Feb 02 2015 01 0,30.357,497
Feb 03 2015 01 0,31.904,488
Feb 04 2015 01 0,32.263,459
Feb 05 2015 01 0,32.056,450
Feb 06 2015 01 0,31.709,492
Feb 07 2015 01 0,32.882,589
Feb 08 2015 01 0,30.088,579
Feb 09 2015 01 0,31.411,423
Feb 10 2015 01 0,32.044,386
Feb 11 2015 01 0,31.203,445
Feb 12 2015 01 0,30.679,444
Feb 13 2015 01 0,30.361,591
Feb 14 2015 01 0,31.647,535
Feb 15 2015 01 0,30.499,603
Feb 16 2015 01 0,29.975,570
Feb 17 2015 01 0,30.999,513
Feb 18 2015 01 0,30.653,463
Feb 19 2015 01 0,30.7,482
Feb 20 2015 01 0,30.19,566
Feb 21 2015 01 0,30.694,479
Feb 22 2015 01 0,30.693,485
Feb 23 2015 01 0,30.46,449
Feb 24 2015 01 0,31.074,427
Feb 25 2015 01 0,30.113,428
Feb 26 2015 01 0,31.197,494
Feb 27 2015 01 0,30.169,525
Feb 28 2015 01 0,30.526,530
Mar 01 2015 01 0,30.834,467
Mar 02 2015 01 0,31.003,412
Mar 03 2015 01 0,31.887,438
Mar 04 2015 01 0,31.389,383
Mar 05 2015 01 0,30.601,416
Mar 06 2015 01 0,31.224,429
Mar 07 2015 01 0,30.453,456
Mar 08 2015 01 0,30.075,434
Mar 09 2015 01 0,28.881,404
Mar 10 2015 01 0,28.307,385
Mar 11 2015 01 0,29.067,362
Mar 12 2015 01 0,30.358,395
Mar 13 2015 01 0,28.497,526
Mar 14 2015 01 0,27.838,615
Mar 15 2015 01 0,26.661,697
Mar 16 2015 01 0,26.039,553
Mar 17 2015 01 0,27.953,421
Mar 18 2015 01 0,29.011,409
Mar 19 2015 01 0,28.779,377
Mar 20 2015 01 0,28.763,461
Mar 21 2015 01 0,28.735,533
Mar 22 2015 01 0,29.03,457
Mar 23 2015 01 0,28.691,438
Mar 24 2015 01 0,29.062,406
Mar 25 2015 01 0,29.448,427
Mar 26 2015 01 0,28.947,449
Mar 27 2015 01 0,29.621,488
Mar 28 2015 01 0,29.339,518
Mar 29 2015 01 0,28.454,549
Mar 30 2015 01 0,29.007,419
Mar 31 2015 01 0,28.857,408
Apr 01 2015 01 0,29.657,607
Apr 02 2015 01 0,30.979,454
Apr 03 2015 01 0,29.864,535
Apr 04 2015 01 0,29.49,524
Apr 05 2015 01 0,29.971,575
Apr 06 2015 01 0,29.633,516
Apr 07 2015 01 0,30.27,544
